318,Shawshank Redemption The (1994)
260,Star Wars: Episode IV - A New Hope (1977)	
3578,Gladiator (2000)	
541,Blade Runner (1982)	
593,Silence of the Lambs The (1991)	
1210,Star Wars: Episode VI - Return of the Jedi (1983)	
2571,Matrix The (1999)	
34,Babe (1995)	
1265,Groundhog Day (1993)
2028,Saving Private Ryan (1998)	
296,Pulp Fiction (1994)	
1259,Stand by Me (1986)	
1,Toy Story (1995)	
780,Independence Day (ID4) (1996)	
527,Schindler's List (1993)	
2762,Sixth Sense The (1999)	
2396,Shakespeare in Love (1998)	
1198,Raiders of the Lost Ark (1981)	
356,Forrest Gump (1994)	
2916,Total Recall (1990)
